Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
"A global enterprise is designing a hybrid architecture to replicate mission-critical workloads between its on-premises data center and Oracle Cloud Infrastructure (OCI) for business continuity and disaster recovery. The solution must provide private, dedicated connectivity, predictable low latency, and enhanced security without relying on the public internet. Which OCI networking service best satisfies these requirements?",Multiple Choice,OCI Service Gateway,"Enables private access to Oracle services (Object Storage, Autonomous DB). Does not provide connectivity to on-premises environments. Exam Trap: Confusing Oracle service access with hybrid connectivity",OCI Dynamic Routing Gateway (DRG),Acts as a virtual router for connectivity. Requires FastConnect or VPN to establish actual on-prem connectivity. Exam Trap: DRG alone does not provide physical or dedicated links,OCI FastConnect,"Provides dedicated, private connectivity between on-premises and OCI. Offers low latency, high bandwidth, and predictable performance. Avoids public internet exposure, improving security. Officially recommended for hybrid DR and data replication scenarios. Reference: Oracle Help Center – OCI FastConnect Overview. Correct",OCI Internet Gateway,Enables public internet access for VCN resources. Does not guarantee low latency or private connectivity. Exam Trap: Internet access ≠ enterprise-grade DR connectivity,OCI Remote Peering Connection,Used to connect two OCI VCNs in different regions. Not applicable for on-premises to OCI connectivity. Exam Trap: Mixing VCN-to-VCN peering with hybrid architecture,,,3,"For hybrid disaster recovery, OCI FastConnect is the preferred and exam-expected solution when requirements include private connectivity, minimal latency, and secure data synchronization between on-premises environments and OCI. VPN and internet-based options do not meet enterprise DR performance standards.","Core OCI Services, Networking, Hybrid Cloud Architecture",
"An enterprise security architect is reviewing Oracle Cloud Infrastructure (OCI) native services that help protect, monitor, and control access to cloud resources. Which three OCI services are specifically categorized as Security services that improve an organization’s security posture in OCI?",Multiple Choice,OCI Identity and Access Management (IAM),"Manages users, groups, policies, and authentication. Core OCI Security service for access control. Enforces least-privilege access. Official OCI Security service. Correct",Oracle Cloud Guard,Continuously monitors OCI resources for security misconfigurations and risks. Provides detectors and responders. Central service for security posture management. Explicitly listed under OCI Security Services. Correct,OCI Web Application Firewall (WAF),"Protects applications from common web attacks (SQL injection, XSS, etc.). Layer 7 security service integrated with OCI Load Balancer and Edge services. Recognized OCI Security service. Correct",OCI FastConnect,"Provides dedicated private connectivity between on-premises and OCI. Networking service, not a security service. Exam trap: Secure connectivity ≠ security service. Incorrect",OCI File Storage Service,"Shared file system service for compute instances. Does not provide security monitoring or enforcement. Exam trap: Storage services may support encryption, but they are not classified as Security services. Incorrect",OCI Resource Manager,"Infrastructure-as-Code service using Terraform. Focuses on provisioning, not security controls. Exam trap: Governance tools are not always security tools. Incorrect","1,2,3","OCI Security services are those that control access, detect threats, and protect workloads. For the 1Z0-1085-25 exam, remember that IAM, Cloud Guard, and WAF are explicitly classified as OCI Security services, while networking, storage, and provisioning services—even if “secure”—are not.",Security Services,
" In Oracle Cloud Infrastructure (OCI), which service is primarily responsible for organizing resources into compartments and controlling access through policies across a tenancy?",Multiple Choice,Object Storage,Used for storing unstructured data such as backups and media. Does not manage resource organization or user permissions. Exam trap: Confusing data storage services with governance services. Incorrect,Identity and Access Management (IAM),"Central governance service in OCI. Used to: Create and manage users, groups, and dynamic groups. Define compartments to logically organize resources. Write policies to control access to OCI resources. IAM operates at the tenancy level, making it essential for resource management. Fully aligned with Oracle Help Portal documentation. Correct",Compute Service,Provides virtual machines and bare metal instances. Does not handle access control or resource organization. Exam trap: Assuming core services manage governance. Incorrect,Virtual Cloud Network (VCN),"Used for networking and connectivity. Cannot manage identities, policies, or compartments. Exam trap: Confusing infrastructure components with management services. Incorrect",Block Volume Service,Provides persistent storage for compute instances. No role in organizing or securing OCI resources. Incorrect,,,2,"For the OCI Foundations Associate (1Z0-1085-25) exam, always remember: Identity and Access Management (IAM) is the core service used to organize resources using compartments and control access using policies. No other OCI service provides this governance functionality.",Governance and Administration,
 An organization is planning a multi-region Oracle Cloud Infrastructure (OCI) deployment to support disaster recovery and is evaluating networking and storage-related costs. The architect wants to understand how OCI pricing affects data movement and replication across regions. Which statement correctly reflects OCI’s pricing model for such a multi-region architecture?,Multiple Choice,"Data transfer between OCI services within the same region is free, while data transfer between different OCI regions is charged.","OCI allows free data transfer between services in the same region. Inter-region data transfer is charged, regardless of service type. This directly impacts multi-region HA and DR designs. Official behavior per Oracle Help Portal networking pricing documentation.",All ingress and egress network traffic to and from OCI regions is free of charge.,OCI does not charge for ingress traffic. Egress traffic to the internet is charged beyond the monthly free allowance. Exam trap: Assuming “free ingress” also means “free egress.”,Cross-region Block Volume replication does not incur any additional storage or network costs.,Block Volume replication across regions incurs additional charges for the target block volume storage and inter-region data transfer. Exam trap: Confusing availability-domain replication with cross-region replication.,"Load Balancer traffic is always free, regardless of whether it is within the same region or across regions.",Load Balancer traffic is metered. Inter-region traffic flowing through Load Balancers is not free. Exam trap: Assuming managed services eliminate network transfer costs.,Object Storage replication across regions is included at no additional cost by default.,Cross-region Object Storage replication incurs storage costs in the destination region and inter-region data transfer charges. Exam trap: Assuming replication is “free” because it is automated.,,,1,"For OCI multi-region architectures, ingress is free, same-region service-to-service traffic is free, but inter-region data transfer and replication always incur charges.","Getting Started with OCI, Core OCI Services, Governance and Administration",
" A financial services organization is migrating regulated workloads to Oracle Cloud Infrastructure (OCI). The security team requires that all sensitive data stored on OCI be encrypted at rest, and mandates that encryption keys must be owned, managed, and rotated by the customer rather than Oracle. Which OCI service or feature best satisfies this requirement?",Multiple Choice,OCI Vault with customer-managed keys,"Provides Key Management Service (KMS) and HSM-backed keys. Customers can create, store, rotate, disable, and delete encryption keys. Supports envelope encryption for OCI services and aligns with compliance requirements for customer-controlled encryption.",OCI Key Management integrated through IAM policies,"IAM policies control access and authorization, not encryption key ownership. IAM does not create, store, rotate, or manage encryption keys. Exam trap: confusing access control with key management.",OCI Cloud Guard with encryption responder recipes,Cloud Guard is a security posture management and threat detection service. It can detect misconfigurations but does not manage encryption keys. Exam trap: assuming Cloud Guard enforces encryption automatically.,OCI Data Safe with automated encryption enforcement,"Data Safe focuses on database security, auditing, and masking. It does not provide encryption key ownership or lifecycle management. Exam trap: mixing database security tooling with encryption key control.",OCI Object Storage default Oracle-managed encryption,"Object Storage encrypts data at rest by default, but keys are Oracle-managed and do not give customers full control over encryption keys. Exam trap: default encryption ≠ customer-managed encryption.",,,1,"When encryption at rest with full customer control over keys is required, OCI Vault with customer-managed keys is the correct solution.",Security Services,
" A financial services company is designing a disaster recovery (DR) architecture for an application hosted on Oracle Cloud Infrastructure (OCI). The requirement is to ensure automatic data redundancy and availability across different OCI regions to protect against a regional outage, with minimal operational overhead. Which OCI service and configuration best satisfy this requirement?",Multiple Choice,OCI Object Storage configured with Cross-Region Replication,"Automatically replicates objects asynchronously to another OCI region, ensuring geographic redundancy and disaster recovery readiness with minimal operational overhead. Aligns with Oracle-recommended DR patterns.",OCI Autonomous Database with backups stored only in the same region,Backups stored in the same region do not protect against regional failures and do not provide geographic redundancy. Exam trap: Backups ≠ cross-region disaster recovery.,OCI Block Volume with manual snapshots retained locally,"Local snapshots remain within the same region, require manual management, and do not meet geographic redundancy needs. Exam trap: Snapshots improve recovery, not regional resilience.",OCI Streaming Service with multiple partitions,"Designed for real-time data ingestion, not disaster recovery or long-term geographic redundancy. Does not replicate data automatically across regions.",OCI Functions deployed in multiple availability domains,Availability Domains are within the same region and do not address multi-region disaster recovery. Exam trap: AD-level high availability ≠ regional DR.,,,1,"For multi-region disaster recovery in OCI, Object Storage with Cross-Region Replication provides automatic geographic redundancy with minimal operational effort.","Core OCI Services, Governance and Administration",
"In Oracle Cloud Infrastructure (OCI), under the shared responsibility model, which of the following tasks is primarily the responsibility of Oracle, not the customer?",Multiple Choice,Configuring security lists and network firewalls,"Customers are responsible for network configuration, including security lists and VCN firewalls. Exam trap: assuming Oracle provides all network security by default.",Installing patches and updates on compute instances,Customers are responsible for operating system and application patching. Oracle manages the underlying infrastructure only.,Encrypting sensitive data stored in OCI Object Storage,"Customers can manage encryption keys using OCI Vault or BYOK, making encryption a customer responsibility.",Maintaining the physical security of OCI data centers,"Oracle is responsible for physical access controls, surveillance, guards, and data center facilities as part of the shared responsibility model.",Managing user access permissions through IAM policies,"Customers manage IAM policies, compartments, and access control for users and services.",,,4,"Under the shared responsibility model, Oracle secures the physical infrastructure while customers secure configurations, data, and access.","Security Services, Governance and Administration",
"A fintech startup is migrating its payment processing application to Oracle Cloud Infrastructure (OCI) and must comply with PCI DSS standards for handling credit card transactions. The company needs to ensure data encryption, enforce strict access control, and monitor all administrative and user activities for audit purposes. Which OCI service configuration best fulfills these requirements?",Multiple Choice,"Object Storage with default encryption, Security Lists for network security, Internet Gateway for external access, and Local Peering Gateway for on-premises connection.",Default encryption may not meet PCI DSS key management requirements. Security Lists and gateways do not provide application-layer protection or detailed audit trails. Exam trap: assuming default encryption is sufficient.,"Vault for managing encryption keys, Identity and Access Management (IAM) for role-based access control, Audit for logging user and administrator actions, and Web Application Firewall (WAF) for protecting sensitive data.","Vault ensures encryption key management, IAM enforces access control, Audit logs all activity, and WAF protects sensitive data in transit. Matches OCI best practices and PCI DSS requirements.","Block Storage without encryption, NAT Gateway for public access, Network Security Groups (NSGs) for traffic filtering, and IAM groups for limited access.",Unencrypted storage violates PCI DSS. Network controls alone do not meet encryption and audit requirements.,"Object Storage without encryption, Security Lists for access control, DRG for connecting to on-premises resources, and Audit for logging system events.",Unencrypted storage and lack of key management make this non-compliant despite audit logging.,,,,,2,"PCI DSS compliance in OCI requires Vault-managed encryption, IAM access control, Audit logging, and WAF protection.","Security Services, Governance and Administration",
" A financial services company is migrating sensitive customer records to Oracle Cloud Infrastructure (OCI). To comply with industry regulations, they must ensure that all stored data and all communications between services are encrypted by default. Which OCI feature should the company leverage to centrally manage encryption keys and enforce encryption across its cloud resources?",Multiple Choice,Oracle Cloud Infrastructure Audit,Audit tracks API calls and user activity but does not encrypt data or manage encryption keys. Exam trap: confusing monitoring with enforcement.,Oracle Cloud Infrastructure Key Management,"Central service for creating, storing, and managing encryption keys. Enables encryption of data at rest and integrates with services for in-transit encryption, aligning with regulatory requirements.",Oracle Cloud Infrastructure Web Application Firewall (WAF),WAF protects web applications from attacks but does not manage encryption or keys.,Oracle Cloud Infrastructure Security Zones,Security Zones enforce policy compliance but do not manage encryption keys or automatically encrypt data.,,,,,2,"When encryption of data at rest and in transit is required, OCI Key Management is the correct service to manage and enforce encryption keys.","Security Services, Data Protection, Governance and Administration",
"34. In Oracle Cloud Infrastructure (OCI), which of the following services is not primarily used for processing, analyzing, or managing data? Note: There is 1 correct answer to this question.",multiple-choice,OCI Data Integration,"Used to extract, transform, and load (ETL) data for analytics workflows. Exam trap: It integrates with analytics services, so it seems “infrastructure-like” but is indeed analytics-focused.",OCI Big Data Service,Purpose-built for large-scale data analytics using Hadoop/Spark clusters. Correctly categorized as a data analytics service.,OCI Functions,Serverless compute service designed for running event-driven code. Does not directly perform analytics or process datasets for analytics purposes. Reference: OCI Functions Documentation.,OCI Data Catalog,"Helps organize, classify, and manage metadata for data analytics. Provides visibility and governance for analytics-ready data.",OCI Object Storage,"Used to store data that can be consumed by analytics services. While primarily storage, it supports analytics workflows (not the trick answer).",,,3,"Focus on service purpose: analytics services handle, transform, or process data, while compute or network services do not directly perform analytics.","Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
"35. A global e-commerce platform plans to deploy a recommendation engine and user profile service on Oracle Cloud Infrastructure (OCI). The system requires massive scalability for high-volume read/write operations, low-latency access across multiple regions, automatic scaling during traffic spikes, and flexible schema support to store diverse user behavior data. Which OCI Database service is the most appropriate choice? Note: There is 1 correct answer to this question.",multiple-choice,OCI Autonomous Transaction Processing (ATP),"Optimized for OLTP transactional workloads. Supports moderate scaling but not ideal for massive high-throughput, globally distributed key-value workloads. Exam trap: Candidates often confuse ATP with NoSQL because both support high performance transactions.",OCI MySQL Database Service,Suitable for relational workloads with structured data. Limited horizontal scaling for global high-throughput scenarios. Does not natively provide global low-latency replication.,OCI NoSQL Database,Designed for high-volume read/write operations. Supports global replication for low-latency access. Automatic scaling for unpredictable workloads. Flexible schema allows storing diverse user behavior data efficiently. Reference: OCI NoSQL Database Overview.,OCI Autonomous Data Warehouse (ADW),"Optimized for analytical workloads, not high-velocity transactional reads/writes. Best for complex queries on large datasets but not low-latency global operations.",,,,,3,High read/write throughput plus global access plus flexible schema equals OCI NoSQL Database.,"Core OCI Services, Database Services, Getting Started with OCI",
36. You are designing a highly available web application in Oracle Cloud Infrastructure (OCI). You want to ensure that your compute instances and storage are isolated from infrastructure failures. Which statement correctly describes an Availability Domain? Note: There is 1 correct answer to this question.,multiple-choice,A network segment within a Virtual Cloud Network (VCN) that distributes traffic between compute instances.,"This describes a subnet, not an Availability Domain. Exam trap: confusing VCN/subnet boundaries with AD boundaries.","A single, isolated data center within an OCI Region that operates independently with its own power and network.",Correct definition of an Availability Domain. Reference: OCI Documentation – Availability Domains.,A global Oracle Cloud location that contains multiple Regions for disaster recovery.,"This describes Oracle Cloud Regions or Region pairs, not ADs. Misconception: Candidates often think AD equals region-level DR solution.",A logical grouping of multiple compute instances across Regions for load balancing.,"This is a logical compute deployment or global load balancing, unrelated to AD definition.",,,,,2,AD equals a single isolated data center in a region with independent power and network.,"Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
"37. A global research organization wants to expand its operations on Oracle Cloud Infrastructure (OCI). Their priorities include enforcing security and compliance standards automatically across multiple compartments, receiving alerts for non-compliant resources, and reducing cloud security management overhead for a small IT team. Which OCI service is the most appropriate choice for this scenario? Note: There is 1 correct answer to this question.",multiple-choice,OCI Security Zones,Security Zones enforce strict rules at the compartment level for resource deployment. They are more rigid and do not provide automated monitoring or remediation across existing resources. Exam trap: confusing Security Zones enforcement with Cloud Guard automated monitoring.,OCI Cloud Guard,Continuously monitors OCI resources for misconfigurations and security risks. Automatically enforces security and compliance policies across regions and compartments. Reduces manual governance effort. Reference: OCI Cloud Guard Overview.,OCI Logging,"Collects logs and events but does not automatically enforce policies or compliance. Useful for auditing and diagnostics, not governance automation.",OCI Resource Manager,"Automates infrastructure deployment via Terraform, not compliance enforcement. Exam trap: Candidates might think it helps enforce standards, but it is deployment-focused.",OCI Cost Analysis,Provides visibility into costs and usage trends but does not enforce security or compliance policies.,,,2,"OCI Cloud Guard provides automated governance, compliance monitoring, and remediation.","Governance and Administration, Security Services, Core OCI Services",
"38. Which two Oracle Cloud Infrastructure (OCI) services provide fully managed database solutions that automatically handle scaling, patching, and performance optimization? Select two.",multiple-select,Oracle Object Storage,"Provides storage for objects, not a managed database. Object Storage does not manage database workloads.",Autonomous Transaction Processing (ATP),"Fully managed, self-tuning transactional database. Handles patching, scaling, backups, and performance automatically. Reference: OCI Autonomous Database Documentation.",OCI Functions,"Serverless compute service, not designed for database management.",MySQL Database Service,"Managed MySQL database with automated backups, high availability, and scaling. Reference: OCI MySQL Database Service.",Oracle Analytics Cloud,"Analytics and BI service, does not provide database management.",Oracle Cloud VMware Solution (OCVS),"VMware workloads in OCI, unrelated to database operations.","2,4","Autonomous Database and MySQL Database Service are OCI managed databases with automatic scaling, patching, and optimization.","Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
39. Which two OCI services help you monitor resources for potential security risks and enforce access controls in your cloud environment? Select two.,multiple-select,OCI Key Management,"Manages encryption keys, but it does not actively monitor or enforce security policies. Exam trap: sounds security-related but is a supporting feature.",OCI Cloud Guard,Detects misconfigurations and security risks across OCI resources and provides remediation. Reference: OCI Cloud Guard Documentation.,OCI Object Storage Lifecycle Policies,"Controls data retention and archiving, not security monitoring.",OCI Identity and Access Management (IAM),"Manages users, groups, roles, and policies. Central to access control and security governance. Reference: OCI IAM Documentation.",OCI Compute Autoscaling,"Scales compute resources based on load, not related to security.",OCI Data Flow,Data processing service with no security posture management.,"2,4",OCI Cloud Guard monitors security risks and IAM enforces access control.,"Security Services, Governance, and Administration",
